title,cast,director,overview,runtime,userRating
Bedazzled,Elizabeth Hurley|Brendan Fraser|Frances O'Connor|Orlando Jones|Paul Adelstein,Harold Ramis,Elliot Richardson suicidal techno geek is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star a rock star and a hamburger. But as could be expected the Devil must put her own little twist on each his fantasies.,93,5.3
Identity,John Cusack|Ray Liotta|Amanda Peet|John Hawkes|Alfred Molina,James Mangold,Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out the travelers begin to turn on each other as each tries to figure out who the killer is.,90,7
Rush,Daniel BrÌÄå_hl|Chris Hemsworth|Olivia Wilde|Alexandra Maria Lara|Natalie Dormer,Ron Howard,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,123,7.7
Get Him to the Greek,Jonah Hill|Russell Brand|Rose Byrne|Colm Meaney|Sean Combs,Nicholas Stoller,Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol out of control rock star Aldous Snow back to LA for his comeback show.,109,5.9
The Abyss,Ed Harris|Mary Elizabeth Mastrantonio|Michael Biehn|Leo Burmester|Todd Graff,James Cameron,A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.,139,6.9
Enter the Dragon,Bruce Lee|Jim Kelly|John Saxon|Ahna Capri|Sek Kin,Robert Clouse,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,99,7
Patton,George C. Scott|Karl Malden|Stephen Young|Michael Strong|Carey Loftin,Franklin J. Schaffner,"""Patton"" tells the tale of General George S. Patton famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",172,6.9
Sucker Punch,Emily Browning|Abbie Cornish|Jena Malone|Vanessa Hudgens|Jamie Chung,Zack Snyder,A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy she envisions a plan which will help her escape from the mental facility.,110,5.9
Burlesque,Cher|Christina Aguilera|Eric Dane|Cam Gigandet|Julianne Hough,Steve Antin,The Burlesque Lounge has its best days behind it. Tess a retired dancer and owner of the venue struggles to keep the aging theater alive facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess the good fortune seems to have abandoned the club altogether. Meanwhile the life of Ali a small-town girl from Iowa is about to change dramatically. Hired by Tess as a waitress at the Lounge Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the revue,119,6.8
The Long Kiss Goodnight,Geena Davis|Samuel L. Jackson|Yvonne Zima|Craig Bierko|Tom Amandes,Renny Harlin,Samantha Caine suburban homemaker is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale PA has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head she begins to remember small parts of her previous life as a lethal top-secret agent,120,6.4
The Purge,Lena Headey|Ethan Hawke|Max Burkholder|Adelaide Kane|Rhys Wakefield,James DeMonaco,Given the country's overcrowded prisons the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls a family must protect themselves from a home invasion.,86,5.8
Father of the Bride,Steve Martin|Diane Keaton|Kimberly Williams-Paisley|Kieran Culkin|George Newbern,Charles Shyer,George Banks is an ordinary middle-class man whose 21 year-old daughter Annie has decided to marry a man from an upper-class family but George can't think of what life would be like without his daughter. He becomes slightly insane but his wife tries to make him happy for Annie but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony.,105,6.3
The Lone Ranger,Johnny Depp|Armie Hammer|William Fichtner|Helena Bonham Carter|James Badge Dale,Gore Verbinski,The Texas Rangers chase down a gang of outlaws led by Butch Cavendish but the gang ambushes the Rangers seemingly killing them all. One survivor is found however by an American Indian named Tonto who nurses him back to health. The Ranger donning a mask and riding a white stallion named Silver teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.,149,6
Red Riding Hood,Amanda Seyfried|Gary Oldman|Billy Burke|Shiloh Fernandez|Max Irons,Catherine Hardwicke,Valerie is in love with a brooding outsider Peter but her parents have arranged for her to marry the wealthy Henry. Unwilling to lose each other Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge the people call on famed werewolf hunter Father Solomon to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf who takes human form by day could be any one of them.,100,5.5
Rumor Has It...,Jennifer Aniston|Kevin Costner|Shirley MacLaine|Mark Ruffalo|Richard Jenkins,Rob Reiner,Sarah Huttinger's return home with her fiance convinces her that the sedate proper country-club lifestyle of her family isn't for her Ì¢‰âÂ‰ÛÏ and that maybe the Huttinger family isn't even hers Ì¢‰âÂ‰ÛÏ as she uncovers secrets that suggest the Huttingers are neither sedate nor proper.,97,5.2
The Hundred-Foot Journey,Helen Mirren|Manish Dayal|Om Puri|Charlotte Le Bon|Rohan Chand,Lasse HallstrÌÄå¦m,A story centered around an Indian family who moves to France and opens a restaurant across the street from a Michelin-starred French restaurant.,122,7.2
Failure to Launch,Matthew McConaughey|Sarah Jessica Parker|Zooey Deschanel|Justin Bartha|Bradley Cooper,Tom Dey,Tripp an attractive man in his thirties is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy however and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.,97,5.6
The Cider House Rules,Tobey Maguire|Charlize Theron|Delroy Lindo|Paul Rudd|Michael Caine,Lasse HallstrÌÄå¦m,Homer is an orphan who was never adopted becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer who becomes a skilled albeit unlicensed physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?,126,6.6
Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,The true story of how The Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese shaking the entire Catholic Church to its core.,128,7.8
Shanghai Knights,Jackie Chan|Owen Wilson|Fann Wong|Aaron Taylor-Johnson|Aidan Gillen,David Dobkin,The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time they're in London to avenge the murder of Chon's father but end up on an even bigger case. Chon's sister is there to do the same but instead unearths a plot to kill the royal family. No one believes her though and it's up to Chon and Roy (who has romance on his mind) to prove her right.,115,5.9
Season of the Witch,Nicolas Cage|Ron Perlman|Ulrich Thomsen|Christopher Lee|Fernanda Dorogi,Dominic Sena,A 14th century Crusader (Cage) returns with his comrade (Perlman) to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch (Foy) to a remote abbey where monks will perform a ritual in hopes of ending the pestilence.,95,5.2
This Is 40,Paul Rudd|Leslie Mann|Jason Segel|Maude Apatow|Megan Fox,Judd Apatow,Pete and Debbie are both about to turn 40 their kids hate each other both of their businesses are failing they're on the verge of losing their house and their relationship is threatening to fall apart.,134,5.5
The Hand that Rocks the Cradle,Annabella Sciorra|Rebecca De Mornay|Matt McCoy|Ernie Hudson|Madeline Zima,Curtis Hanson,A suburban family chooses seemingly sweet Peyton Flanders as their newborn's nanny. Only much later does the infant's mother Claire Bartel realize Peyton's true intentions -- to destroy Claire and replace her in the family. The nail-biting suspense builds quickly in this chilling psychological thriller about deception and bitter revenge.,110,6.4
The Inbetweeners Movie,Simon Bird|James Buckley|Blake Harrison|Lydia Rose Bewley|Laura Haddock,Ben Palmer,High school graduation just wouldnÌ¢‰âÂ‰ã¢t be complete without an un-chaperoned uninhibited and unforgettable final holiday. At least thatÌ¢‰âÂ‰ã¢s what Will Jay Simon and Neil think when they book a two-week stay on an exotic Greek island. As their dreams of sun-drenched days and booze-filled nights are left hopelessly unfulfilled the lads fight their way into the party scene with hilariously humiliating results in this smash hit UK raunchy comedy.,97,6.2
Jaws 3,Dennis Quaid|Bess Armstrong|Simon MacCorkindale|Louis Gossett Jr.|John Putch,Joe Alves,This third film in the series follows a group of marine biologists attempting to capture a young great white shark that has wandered into Florida's Sea World Park. However later it is discovered that the shark's 35-foot mother is also a guest at Sea World. What follows is the shark wreaking havoc on the visitors in the park.,99,4.2
Spawn,Michael Jai White|Martin Sheen|John Leguizamo|Theresa Randle|Nicol Williamson,Mark A.Z. DippÌÄå©,After being murdered by corrupt colleagues in a covert government agency Al Simmons (Michael Jai White) makes a pact with the devil to be resurrected to see his beloved wife Wanda (Theresa Randle). In exchange for his return to Earth Simmons agrees to lead Hell's Army in the destruction of mankind.,96,5
State of Play,Russell Crowe|Ben Affleck|Rachel McAdams|Robin Wright|Jason Bateman,Kevin Macdonald,Handsome unflappable U.S. Congressman Stephen Collins is the future of his political party: an honorable appointee who serves as the chairman of a committee overseeing defense spending. All eyes are upon the rising star to be his party's contender for the upcoming presidential race. Until his research assistant/mistress is brutally murdered and buried secrets come tumbling out.,127,6.6
